total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
3.0,7.0,0.2,"[0, 1, 2, 5, 6, 7, 9, 10, 11, 12, 14, 17, 18, 19, 16]","[[[8, 20], 0], [[15, 3, 4, 13], 0]]",0.76364,0.28571,0.03333,0.28571,0.00725
3.0,6.0,0.2,"[0, 5, 13, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20]","[[[15], 1]]",0.72551,0.04762,0.0,0.0,0.05464
3.0,4.0,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 17, 18, 19]","[[[15], 0], [[8, 20], 0], [[16], 1]]",0.69365,0.19048,0.00476,0.14286,-0.0
3.0,4.0,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 18, 19]","[[[15], 0], [[8], 0], [[16, 10, 17, 20], 1]]",0.74894,0.28571,0.02857,0.09524,0.00315
,,,,,0.5,0.0,0.0,0.0,0.02381
