total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
4.0,7.0,0.4,"[1, 2, 3]","[[[0], 1]]",0.70911,0.25,0.0,0.0,0.01555
3.0,4.0,0.1,[2],"[[[0, 1], 0], [[3], 1]]",0.75686,0.75,0.16667,0.5,0.0
4.0,5.0,0.0,"[3, 1]","[[[2], 1], [[0], 0]]",0.738,0.5,0.0,0.25,0.00075
4.0,7.0,0.1,[2],"[[[3], 0], [[1], 0], [[0], 0]]",0.75863,0.75,0.0,0.75,0.0
4.0,7.0,0.2,[],"[[[3], 1], [[1], 0], [[0], 0], [[2], 1]]",0.76564,1.0,0.0,0.5,0.0
4.0,3.0,0.2,"[1, 2, 3]","[[[0], 0]]",0.69589,0.25,0.0,0.25,0.0
4.0,5.0,0.1,"[1, 3]","[[[0], 1], [[2], 1]]",0.734,0.5,0.0,0.0,0.00156
3.0,5.0,0.1,[2],"[[[1], 1], [[3], 1], [[0], 1]]",0.76076,0.75,0.0,0.0,0.00367
,,,,,0.5,0.0,0.0,0.0,0.125
