total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
7.0,3.0,0.3,"[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 34]","[[[1, 33, 35, 5, 29], 1]]",0.92205,0.13889,0.01587,0.0,0.00031
4.0,7.0,0.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","[[[16, 17], 1]]",0.91655,0.05556,0.00159,0.0,0.0
3.0,3.0,0.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","[[[17], 1]]",0.91787,0.02778,0.0,0.0,0.00035
3.0,8.0,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","[[[17], 0]]",0.91787,0.02778,0.0,0.02778,0.0
6.0,4.0,0.2,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35]","[[[0, 16], 0], [[21, 13, 7, 33], 1]]",0.96676,0.16667,0.01111,0.05556,0.03482
,,,,,0.5,0.0,0.0,0.0,0.01389
