total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
3.0,4.0,0.4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[[[0], 1]]",0.5,0.02703,0.0,0.0,-0.0
6.0,4.0,0.2,"[1, 2, 3, 4, 5, 6, 8, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 26, 27, 28, 30, 31, 35, 36]","[[[9, 17], 0], [[20, 7], 1], [[34, 11, 25, 10], 0], [[32, 0, 29, 33], 0]]",0.81074,0.32432,0.02102,0.27027,-0.0
6.0,4.0,0.2,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[[[0, 9, 17], 0]]",0.80261,0.08108,0.0045,0.08108,-0.0
3.0,4.0,0.2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[[[0], 0]]",0.80306,0.02703,0.0,0.02703,0.00797
3.0,4.0,0.4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36]","[[[0], 1], [[34], 1]]",0.78268,0.05405,0.0,0.0,-0.0
3.0,6.0,0.2,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[[[0, 2], 1]]",0.79769,0.05405,0.0015,0.0,0.00038
3.0,6.0,0.2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36]","[[[0], 0], [[34], 1]]",0.81106,0.05405,0.0,0.02703,0.00365
3.0,5.0,0.6,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36]","[[[2], 1], [[34], 1], [[0], 1]]",0.78141,0.08108,0.0,0.0,-0.0
,,,,,0.5,0.0,0.0,0.0,0.01351
