total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
5.0,5.0,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]","[[[14], 1]]",0.66345,0.04762,0.0,0.0,0.00041
3.0,5.0,0.1,"[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[[[1, 5], 1]]",0.7074,0.09524,0.00476,0.0,0.00012
5.0,6.0,0.3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[[[0], 0]]",0.73444,0.04762,0.0,0.04762,0.00403
4.0,3.0,0.1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20]","[[[0, 19], 0]]",0.7347,0.09524,0.00476,0.09524,2e-05
3.0,5.0,0.1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20]","[[[0, 10, 14], 0]]",0.73628,0.14286,0.01429,0.14286,0.00115
5.0,5.0,0.5,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]","[[[0, 7, 14], 1]]",0.72336,0.14286,0.01429,0.0,0.00064
,,,,,0.5,0.0,0.0,0.0,0.02381
