total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
3.0,4.0,0.2,"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]","[[[8, 7], 1], [[14], 1]]",0.78826,0.14286,0.00476,0.0,0.0
4.0,3.0,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[[[10], 0]]",0.76639,0.04762,0.0,0.04762,0.0
3.0,3.0,0.2,"[0, 1, 2, 4, 5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 20]","[[[8, 7, 16], 0], [[3, 12], 0], [[14], 1]]",0.78843,0.28571,0.01905,0.2381,0.0
3.0,3.0,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19]","[[[12], 0], [[17], 0], [[20], 0]]",0.79116,0.14286,0.0,0.14286,0.0
3.0,4.0,0.2,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]","[[[4, 14], 1]]",0.79783,0.09524,0.00476,0.0,0.00574
3.0,6.0,0.5,"[14, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]","[[[4], 1]]",0.79146,0.04762,0.0,0.0,0.00188
,,,,,0.5,0.0,0.0,0.0,0.02381
