total layers,nodes per hidden layer,p dropout,excluded,included,auc,nf,ni,nnm,dhv contribution
5.0,5.0,0.1,"[0, 3, 4]","[[[1, 2], 0]]",0.95549,0.4,0.1,0.4,0.06847
4.0,9.0,0.1,[0],"[[[1, 2, 4], 1], [[3], 1]]",0.95177,0.8,0.3,0.0,0.02049
3.0,9.0,0.4,"[0, 2, 3, 4]","[[[1], 0]]",0.67154,0.2,0.0,0.2,0.04549
3.0,3.0,0.2,"[2, 3, 4]","[[[1, 0], 1]]",0.5,0.4,0.1,0.0,1e-05
4.0,3.0,0.2,"[0, 2, 3, 4]","[[[1], 1]]",0.50033,0.2,0.0,0.0,5e-05
5.0,3.0,0.1,"[0, 2, 3, 4]","[[[1], 1]]",0.5,0.2,0.0,0.0,1e-05
3.0,4.0,0.1,"[0, 1]","[[[2], 1], [[4], 0], [[3], 0]]",0.65964,0.6,0.0,0.4,1e-05
,,,,,0.5,0.0,0.0,0.0,0.10001
